"","id","realtime_start","realtime_end","title","observation_start","observation_end","frequency","frequency_short","units","units_short","seasonal_adjustment","seasonal_adjustment_short","last_updated","popularity","group_popularity","notes"
"397","APUS23A7471A","2023-12-17","2023-12-17","Average Price: Gasoline, All Types (Cost per Gallon/3.785 Liters) in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)","1978-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:24-06",5,5,"All unleaded gasoline, all grades.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"398","APUS35D72610","2023-12-17","2023-12-17","Average Price: Electricity per Kilowatt-Hour in Tampa-St. Petersburg-Clearwater, FL (CBSA)","2018-01-01","2023-05-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-06-13 07:37:18-05",4,4,"All electricity.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"399","DSERRA3M086SBEA","2023-12-17","2023-12-17","Real personal consumption expenditures: Services (chain-type quantity index)","1959-01-01","2023-10-01","Monthly","M","Index 2017=100","Index 2017=100","Seasonally Adjusted","SA","2023-11-30 07:44:29-06",4,8,"BEA Account Code: DSERRA
For more information about this series, please see http://www.bea.gov/national/."
"400","APUS12B72610","2023-12-17","2023-12-17","Average Price: Electricity per Kilowatt-Hour in Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)","1978-11-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:05:05-06",4,4,"All electricity.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"401","CUURA423SAH1","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Shelter in Seattle-Tacoma-Bellevue WA (CBSA)","1952-11-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:41:43-06",4,4,NA
"402","CUSR0000SETG","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Public Transportation in U.S. City Average","1989-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:15-06",4,13,NA
"403","DGDSRA3M086SBEA","2023-12-17","2023-12-17","Real personal consumption expenditures: Goods (chain-type quantity index)","1959-01-01","2023-10-01","Monthly","M","Index 2017=100","Index 2017=100","Seasonally Adjusted","SA","2023-11-30 07:44:33-06",4,7,"BEA Account Code: DGDSRA
For more information about this series, please see http://www.bea.gov/national/."
"404","APUS49F72610","2023-12-17","2023-12-17","Average Price: Electricity per Kilowatt-Hour in Urban Hawaii (CBSA)","1978-11-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:05:04-06",4,4,"All electricity.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"405","CUSR0000SEFV05","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Other Food Away from Home in U.S. City Average","1998-01-01","2023-11-01","Monthly","M","Index Dec 1997=100","Index Dec 1997=100","Seasonally Adjusted","SA","2023-12-12 07:42:12-06",4,6,NA
"406","APU0000FD2101","2023-12-17","2023-12-17","Average Price: All Ham (Excluding Canned Ham and Luncheon Slices) (Cost per Pound/453.6 Grams) in U.S. City Average","1998-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:54-06",4,4,"Includes all types of ham regardless of cut, bone status, skin status, cure status, processing status, or smoke status. Excludes canned ham.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"407","CUURA311SEHA","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Rent of Primary Residence in Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)","1996-11-01","2017-12-01","Monthly","M","Index Nov 1996=100","Index Nov 1996=100","Not Seasonally Adjusted","NSA","2018-01-12 09:11:08-06",4,4,"This series was discontinued as a result of the introduction of a new geographic area sample for the Consumer Price Index. Information on the geographic revision is available at https://www.bls.gov/cpi/additional-resources/geographic-revision-2018.htm."
"408","APU0000711111","2023-12-17","2023-12-17","Average Price: Apples, Red Delicious (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","2017-10-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2019-07-29 09:35:54-05",4,4,"All fresh red delicious apples regardless of packaging. Includes organic and non-organic. Discontinued series, last published October 2017.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"409","APU0100716141","2023-12-17","2023-12-17","Average Price: Peanut Butter, Creamy, All Sizes (Cost per Pound/453.6 Grams) in the Northeast Census Region - Urban","1984-01-01","2003-04-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2019-07-29 09:34:36-05",4,4,"Creamy peanut butter, regardless of packaging or size. Includes organic and non-organic, as well as homogenized and non homogenized. Discontinued series, last published December 2017.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"410","APU0000705141","2023-12-17","2023-12-17","Average Price: Beef Liver (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","1988-10-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2019-07-29 09:35:59-05",4,4,"Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"411","APU0000712403","2023-12-17","2023-12-17","Average Price: Carrots, Short Trimmed and Topped (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","2014-03-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2019-07-29 09:35:49-05",4,4,"Includes all fresh carrots, with or without tops. Includes organic and non-organic. Excludes miniature and cut/peeled carrots. Discontinued series, last published March 2014.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"412","APU0000710111","2023-12-17","2023-12-17","Average Price: Butter, Salted, Grade AA, Stick (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","2012-04-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2019-07-29 09:35:55-05",4,4,"Regular butter, salted, grade AA, sold in sticks, per pound (16 oz.). Includes organic and non-organic butter. Discontinued series, last published April 2012.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"413","CPGDFD02USM657N","2023-12-17","2023-12-17","Consumer Price Index: Total Food Excluding Restaurants for the United States","1960-01-01","2018-05-01","Monthly","M","Growth Rate Previous Period","Growth Rate Previous Period","Not Seasonally Adjusted","NSA","2018-06-13 14:11:24-05",4,4,"OECD descriptor ID: CPGDFD02
OECD unit ID: GP
OECD country ID: USA

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
"414","APU0000704421","2023-12-17","2023-12-17","Average Price: Sausage, Fresh, Loose (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","2002-09-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2019-07-29 09:36:00-05",4,4,"Loose pork sausage, regardless of flavor, seasoning, or packaging. Includes organic, non-organic, and uncooked. Excludes 'fully cooked' and 'partially cooked. Discontinued series, last published September 2002.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"415","APU0100FF1101","2023-12-17","2023-12-17","Average Price: Chicken Breast, Boneless (Cost per Pound/453.6 Grams) in the Northeast Census Region - Urban","2006-05-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:28-06",4,4,"All whole or half boneless, skinless chicken breasts. Includes organic, non-organic, fresh, and frozen, as well as other descriptive claims.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"416","CUSR0000SAF114","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Nonalcoholic Beverages and Beverage Materials in U.S. City Average","1947-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:12-06",4,10,NA
"417","CUURA104SA0","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: All Items in Pittsburgh, PA (CMSA) (DISCONTINUED)","1917-12-01","1997-12-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2013-08-08 15:51:24-05",4,5,NA
"418","CUSR0000SAA1","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Men's and Boys' Apparel in U.S. City Average","1947-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:14-06",4,4,NA
"419","WPSFD413112","2023-12-17","2023-12-17","Producer Price Index by Commodity: Final Demand: Durable Consumer Goods","1947-04-01","2023-11-01","Monthly","M","Index 1982=100","Index 1982=100","Seasonally Adjusted","SA","2023-12-13 07:53:17-06",4,14,NA
"420","CUUR0000SEHF","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Energy Services in U.S. City Average","1935-03-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:16-06",4,16,NA
"421","CWSR0000SETD","2023-12-17","2023-12-17","Consumer Price Index for All Urban Wage Earners and Clerical Workers: Motor Vehicle Maintenance and Repair in U.S. City Average","1967-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:12-06",4,4,NA
"422","APU0000704411","2023-12-17","2023-12-17","Average Price: Pork Shoulder Roast, Blade Boston, Bone-In (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","1981-12-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2019-07-29 09:36:00-05",4,4,"Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"423","CUSR0000SAG1","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Personal Care in U.S. City Average","1999-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:18-06",4,4,NA
"424","WPSFD41311","2023-12-17","2023-12-17","Producer Price Index by Commodity: Final Demand: Finished Consumer Goods Less Foods and Energy","1974-01-01","2023-11-01","Monthly","M","Index 1982=100","Index 1982=100","Seasonally Adjusted","SA","2023-12-13 07:53:20-06",4,6,NA
"425","APU0400711411","2023-12-17","2023-12-17","Average Price: Grapefruit (Cost per Pound/453.6 Grams) in the West Census Region - Urban","1980-01-01","2020-02-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2020-03-11 07:41:15-05",4,4,"All fresh grapefruit regardless of packaging. Includes organic and non-organic.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"426","IB001260M","2023-12-17","2023-12-17","Real Personal Consumption Expenditures: Services Excluding Energy and Housing (Chain-Type Quantity Index)","1959-01-01","2023-10-01","Monthly","M","Index 2017=100","Index 2017=100","Seasonally Adjusted","SA","2023-11-30 07:50:05-06",4,5,"BEA Account Code: IB001260

For more information about this series, please see please visit the Guide to the National Income and Product Accounts of the United States (NIPA)  (https://www.bea.gov/resources/methodologies/nipa-handbook)."
"427","APU0100714221","2023-12-17","2023-12-17","Average Price: Corn, Canned, Any Style, All Sizes (Cost per Pound/453.6 Grams) in the Northeast Census Region - Urban","1996-06-01","1997-12-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2019-07-29 09:34:40-05",4,4,"All canned corn, regardless of processing or can size. Includes organic and non-organic.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"428","APU0000706211","2023-12-17","2023-12-17","Average Price: Chicken Breast, Bone-In (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","2011-10-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2019-07-29 09:35:58-05",4,4,"All whole or half bone-in chicken breasts. Includes, organic, non-organic, fresh, and frozen, as well as other descriptive claims. Discontinued series, last published October 2011.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"429","APU0000715311","2023-12-17","2023-12-17","Average Price: Jelly (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","1981-12-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2019-07-29 09:35:43-05",4,4,"Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"430","APUS35A72610","2023-12-17","2023-12-17","Average Price: Electricity per Kilowatt-Hour in Washington-Arlington-Alexandria, DC-VA-MD-WV (CBSA)","1978-11-01","2022-12-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:22:02-06",4,4,"All electricity.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"431","CUUR0000SEEE","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Information Technology, Hardware and Services in U.S. City Average","1988-12-01","2023-11-01","Monthly","M","Index Dec 1988=100","Index Dec 1988=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:13-06",4,32,NA
"432","APU0000703425","2023-12-17","2023-12-17","Average Price: Steak, Rib Eye, USDA Choice, Boneless (Cost per Pound/453.6 Grams) in U.S. City Average","1991-01-01","2001-10-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2019-07-29 09:36:08-05",4,4,"All USDA Choice, boneless rib eye steak, regardless of organic labeling, packaging size, or process state (fresh or frozen). Discontinued series, last published October 2001.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"433","APUS37B72620","2023-12-17","2023-12-17","Average Price: Utility (Piped) Gas per Therm in Houston-The Woodlands-Sugar Land, TX (CBSA)","1979-03-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:05:04-06",4,4,"All piped gas.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"434","APU0000710211","2023-12-17","2023-12-17","Average Price: American Processed Cheese (Cost per Pound/453.6 Grams) in U.S. City Average","1984-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:23-06",4,4,"Processed American cheese sold at the store, regardless of variety. Includes organic and non-organic cheese.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"435","CUUR0000SACE","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Energy Commodities in U.S. City Average","1957-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:41:23-06",4,9,NA
"436","WPUFD41112","2023-12-17","2023-12-17","Producer Price Index by Commodity: Final Demand: Finished Consumer Foods, Processed","1947-01-01","2023-11-01","Monthly","M","Index 1982=100","Index 1982=100","Not Seasonally Adjusted","NSA","2023-12-13 07:51:53-06",4,4,NA
"437","CUSR0000SAE21","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Information and Information Processing in U.S. City Average","2006-01-01","2023-11-01","Monthly","M","Index Dec 1997=100","Index Dec 1997=100","Seasonally Adjusted","SA","2023-12-12 07:42:13-06",4,4,NA
"438","WPUFD41311","2023-12-17","2023-12-17","Producer Price Index by Commodity: Final Demand: Finished Consumer Goods Less Foods and Energy","1973-01-01","2023-11-01","Monthly","M","Index 1982=100","Index 1982=100","Not Seasonally Adjusted","NSA","2023-12-13 07:50:29-06",3,6,NA
"439","CUURA421SEFV","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Food Away from Home in Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)","1952-12-01","2017-12-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2018-01-12 09:12:43-06",3,3,"This series was discontinued as a result of the introduction of a new geographic area sample for the Consumer Price Index. Information on the geographic revision is available at https://www.bls.gov/cpi/additional-resources/geographic-revision-2018.htm."
"440","CWSR0000SEMD","2023-12-17","2023-12-17","Consumer Price Index for All Urban Wage Earners and Clerical Workers: Hospital and Related Services in U.S. City Average","1978-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:17-06",3,3,NA
